district,month,year,domestic_visitors,foreign_visitors
GADCHIROLI,Dec,2010,1058,0
GONDIA,January,2010,136764,0
GONDIA,February,2010,113880,0
GONDIA,March,2010,110075,0
GONDIA,April,2010,97569,0
GONDIA,May,2010,103513,3
GONDIA,June,2010,99391,6
GONDIA,July,2010,11725,18
GONDIA,August,2010,208125,0
GONDIA,Sep,2010,62206,0
GONDIA,October,2010,113437,0
GONDIA,Nov,2010,109457,0
GONDIA,Dec,2010,128015,0
HINGOLI,January,2010,349723,0
HINGOLI,February,2010,390545,0
HINGOLI,March,2010,367291,0
HINGOLI,April,2010,365064,0
HINGOLI,May,2010,367823,0
HINGOLI,June,2010,354088,0
HINGOLI,July,2010,14167,0
HINGOLI,August,2010,171932,0
HINGOLI,Sep,2010,132927,0
HINGOLI,October,2010,212737,0
HINGOLI,Nov,2010,197935,0
HINGOLI,Dec,2010,197498,0
JALGAON,January,2010,302972,0
JALGAON,February,2010,276305,0
JALGAON,March,2010,266593,0
JALGAON,April,2010,263714,10
JALGAON,May,2010,276106,15
JALGAON,June,2010,258495,31
JALGAON,July,2010,37774,0
JALGAON,August,2010,288455,17
JALGAON,Sep,2010,222767,17
JALGAON,October,2010,278052,10
JALGAON,Nov,2010,300584,8
JALGAON,Dec,2010,269485,10
JALNA,January,2010,180686,0
JALNA,February,2010,169531,0
JALNA,March,2010,165608,0
JALNA,April,2010,152101,0
JALNA,May,2010,172231,0
JALNA,June,2010,170179,0
JALNA,July,2010,22939,0
JALNA,August,2010,4974,0
JALNA,Sep,2010,36202,0
JALNA,October,2010,37107,0
JALNA,Nov,2010,89193,0
JALNA,Dec,2010,115282,0
KOLHAPUR,January,2010,524738,0
KOLHAPUR,February,2010,496482,0
KOLHAPUR,March,2010,483817,0
KOLHAPUR,April,2010,528010,50
KOLHAPUR,May,2010,544692,56
KOLHAPUR,June,2010,512352,118
KOLHAPUR,July,2010,74938,226
KOLHAPUR,August,2010,539092,195
KOLHAPUR,Sep,2010,541171,194
